Date,P_Gore_wins_MA
05/01/00,0.5037313432835822
05/02/00,0.5053180650195576
05/03/00,0.508814568516061
05/04/00,0.5126985690365973
05/05/00,0.5136823282293116
05/06/00,0.5150337016970342
05/07/00,0.5138652272721026
05/08/00,0.5133842985822187
05/09/00,0.5083699214514925
05/10/00,0.5028341651694945
05/11/00,0.49799631829553936
05/12/00,0.4978288171260341
05/13/00,0.49799465162320594
05/14/00,0.49883116249181714
05/15/00,0.49617711601905756
05/16/00,0.494196608917969
05/17/00,0.48918658887788885
05/18/00,0.48091337542539253
05/19/00,0.4774612430358705
05/20/00,0.4740902364620121
05/21/00,0.47849760270488484
05/22/00,0.47743040902899553
05/23/00,0.4778985802291362
05/24/00,0.475998266493316
05/25/00,0.48200617163165593
05/26/00,0.49204759446916846
05/27/00,0.5056015384104013
05/28/00,0.5112206173990456
05/29/00,0.5072724904582869
05/30/00,0.5023075752250123
05/31/00,0.4963512418284399
06/01/00,0.4998328398027829
06/02/00,0.499003984063745
06/03/00,0.5001642036124795
06/04/00,0.4995035011605245
06/05/00,0.5014955409378287
06/06/00,0.5151232947862997
06/09/00,0.5213259091653848
06/10/00,0.5262860372184573
06/11/00,0.5221222338079717
06/12/00,0.51925295276222
06/13/00,0.5204400516908768
06/14/00,0.5197900236606537
06/15/00,0.5208276580692558
06/16/00,0.5230790640885865
06/17/00,0.5228554805196168
06/18/00,0.5204798554257186
06/19/00,0.5172560579388154
06/20/00,0.5138670419798305
06/21/00,0.5145204733543247
06/22/00,0.5098342542644055
06/23/00,0.5061188927886202
06/24/00,0.5041229787266409
06/25/00,0.5049603954949823
06/26/00,0.5011628898772251
06/27/00,0.4948326752072541
06/28/00,0.4863604160219945
06/29/00,0.4824836602377076
06/30/00,0.4806824506400476
07/01/00,0.47574162927758756
07/02/00,0.47123413087877664
07/03/00,0.46943303978492773
07/04/00,0.472030574656544
07/05/00,0.4726020100783473
07/06/00,0.4726884190733907
07/07/00,0.47212560160916484
07/08/00,0.473208039028666
07/09/00,0.47120202097450353
07/10/00,0.47104361661197997
07/11/00,0.4720644345095588
07/12/00,0.48646961917552584
07/13/00,0.49063184444327873
07/14/00,0.4973138575857609
07/15/00,0.49494010521200854
07/16/00,0.5004941349352225
07/17/00,0.5015025256717099
07/18/00,0.5003370245062088
07/19/00,0.4840440261492893
07/20/00,0.4776514950342557
07/21/00,0.4723814028076417
07/22/00,0.4873400356809516
07/23/00,0.48942145502218687
07/24/00,0.48934752587271535
07/25/00,0.48281558221239784
07/26/00,0.48329319415269634
07/27/00,0.4846211512717537
07/28/00,0.4784974222564584
07/29/00,0.4707129104719467
07/30/00,0.46520038897170296
07/31/00,0.46919639296770693
08/01/00,0.4726141042167434
08/02/00,0.4769708514688434
08/03/00,0.47931612998560746
08/04/00,0.4806829305210827
08/05/00,0.47717073429011564
08/06/00,0.4726957793408863
08/07/00,0.4707494572732919
08/08/00,0.47326065250325794
08/09/00,0.4808566935570174
08/10/00,0.483431452915021
08/11/00,0.4831107859276873
08/12/00,0.4820041793900837
08/13/00,0.4810129576284563
08/14/00,0.4762182835110731
08/15/00,0.46489838686205953
08/16/00,0.4523408526081781
08/17/00,0.44186100397347133
08/18/00,0.43623118097925473
08/19/00,0.43582629645232185
08/20/00,0.4446461185266037
08/21/00,0.45809445146244293
08/22/00,0.46830356847898624
08/23/00,0.4720759331411251
08/24/00,0.47184815818278397
08/25/00,0.4758404443520699
08/26/00,0.4773033425285831
08/27/00,0.4796305922845512
08/28/00,0.48157518807124927
08/29/00,0.48645196290107573
08/30/00,0.49198462621765865
08/31/00,0.4950029681422716
09/01/00,0.5003266998341626
09/02/00,0.5019960438770006
09/03/00,0.5043294355451257
09/04/00,0.50502445292056
09/05/00,0.5175303394442569
09/06/00,0.5352040900392508
09/07/00,0.5562997256978589
09/08/00,0.5664112549450299
09/09/00,0.5664892778256477
09/10/00,0.5657385387460189
09/11/00,0.569322863666899
09/12/00,0.5815230588700223
09/13/00,0.5937217375952812
09/14/00,0.6130274155220654
09/15/00,0.6275965401467971
09/16/00,0.6462990532970017
09/17/00,0.664452662468471
09/18/00,0.6785754934735349
09/19/00,0.6713663055467388
09/20/00,0.6431388021609811
09/21/00,0.6200455123810256
09/22/00,0.6101244193856642
09/23/00,0.6048607824855994
09/24/00,0.5963890395732464
09/25/00,0.5862609639410183
09/26/00,0.5822819259208613
09/27/00,0.5799415715243383
09/28/00,0.5801639993337196
09/29/00,0.5733960324208254
09/30/00,0.5723076609233542
10/01/00,0.5760613762551259
10/02/00,0.594279562214834
10/03/00,0.6174794660494295
10/04/00,0.645904631256314
10/05/00,0.6706528085535437
10/06/00,0.6711150581683358
10/07/00,0.6439462299808768
10/08/00,0.6049800493508973
10/09/00,0.5848398720678628
10/10/00,0.5794149023560119
10/11/00,0.5717077959949289
10/12/00,0.557127635572551
10/13/00,0.5385739960180483
10/14/00,0.5258407515711422
10/15/00,0.5061356467323
10/16/00,0.497711464373529
10/17/00,0.5015072708859764
10/18/00,0.5037811982787156
10/19/00,0.49042808255171266
10/20/00,0.4522784632203654
10/21/00,0.4118612229712668
10/22/00,0.38190725208409654
10/23/00,0.38510734974375266
10/24/00,0.4165750548002882
10/25/00,0.43459937361672357
10/26/00,0.43062323047557055
10/27/00,0.3884655629880666
10/28/00,0.35686607539608634
10/29/00,0.3391689577717991
10/30/00,0.35478620061250865
10/31/00,0.3675026840033401
